didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
10;Basel SBB;01.01.2013;;BS 100;Reisegepäck Express;47.5474041527, 7.58955146721;1
21;Pratteln;01.01.2017;;BS 311;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.522657608, 7.69080243836;2
100;Tavannes;;;BN 853;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.2198385551, 7.20163489763;3
105;Moutier;;;BN 842;Beförderung von Fahrrädern nach dieser Station nicht möglich;47.2806661619, 7.38103944266;4
123;Glovelier;01.01.2029;;BN 827;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3352002384, 7.20929652415;5
202;Grenchen Süd;01.01.2029;;BN 829;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1887666151, 7.39817426522;6
305;Frick;;;BS 531;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5073437467, 8.01307225263;7
1008;Genève;01.01.2013;;GEA200;Reisegepäck Express;46.2102022669, 6.14245302875;8
1096;Bière;01.01.2017;;LS 223;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5374295583, 6.33691885158;9
1173;Echallens;01.01.1931;;LS 261;Gepäckbeförderung nur vormittags;46.6395002737, 6.6325409066;10
1370;Glion;01.01.2029;;LS 308;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4317751146, 6.92473234914;11
1398;Saanen BE;01.01.1931;;LS 307;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4885751409, 7.26027824102;12
1495;Villars-sur-Ollon;01.01.2020;;LS 347;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2962535067, 7.05623802224;13
1509;Sierre/Siders;01.01.1931;;BR 231;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2921149792, 7.53283036255;14
1561;Vernayaz MC;01.01.1931;;LS 384;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1301269722, 7.04493371044;15
1609;Brig;;;BR 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.3194210071, 7.98809158467;16
1663;Ulrichen;01.01.2009;;BR 770;Allgemeine Informationen;46.505017955, 8.30881690239;17
1683;Stalden-Saas;01.01.2019;;BR 411;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2319774852, 7.87076552269;18
1754;Blatten b. Naters, Belalpbahn;01.01.1931;;BR 551;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.3591668639, 7.98390664287;19
1768;Grimentz, poste;01.01.2014;;BR 232;Allgemeine Informationen;46.1784922693, 7.57622475623;20
1779;St-Luc, office du tourisme;01.01.2019;;BR 233;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2235565931, 7.59305699674;21
1780;Saas-Almagell, Tourismusbüro;01.01.2017;;BR 503;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.0941668822, 7.95749649507;22
1781;Saas-Balen, Dorf;01.01.2017;;BR 501;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1530118572, 7.92841417761;23
1782;Saas-Fee, Post;01.01.2012;;BR 500;Gepäckauslieferung durch den Wagenführer bei Ankunft und Abfahrt der Kurse;46.1087928601, 7.92956975713;24
1783;Saas-Grund, Post;01.01.2017;;BR 502;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1235140981, 7.9368174188;25
1954;Bettmeralp;01.01.2017;;BR 720;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3861073639, 8.05793717863;26
1963;Visperterminen, Tourismusbüro;01.01.1931;;BR 292;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.2580558114, 7.90268134293;27
2021;Emmenbrücke;;;LZ 311;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0705979582, 8.28255105833;28
2024;Hochdorf;01.01.2023;;LZ 411;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.1669743615, 8.28868696709;29
2169;Menziken;01.01.2013;;ZUE304;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2409214644, 8.18930957917;30
2204;Zug;01.01.2013;;ZUE250;Fluggepäck (Check-in am Bahnhof);47.1736230527, 8.51529569481;31
2206;Baar;01.01.2028;;ZUE254;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.1953625991, 8.52325583517;32
2215;Muri AG;;01.01.1931;LZ 441;Allgemeine Informationen;47.2766601869, 8.3397982935;33
2224;Affoltern am Albis;01.01.2029;;ZUE260;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.276064074, 8.44658239143;34
2276;Berikon-Widen;01.01.2017;;LZ 432;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3621867175, 8.36679370169;35
3006;Zürich Oerlikon;01.01.2004;;ZUE610;Allgemeine Informationen;47.4115288802, 8.54411523121;36
3016;Zürich Flughafen;;;ZFH100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4503820775, 8.56238666028;37
3107;Stäfa;01.01.2019;;ZUE728;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2405237212, 8.72163122186;38
3110;Rapperswil;;;ZUE580;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.2248877672, 8.81673057998;39
3128;Dübendorf;01.01.2028;;ZUE520;Beförderung von 6 und mehr Fahrrädern, Voranmeldung obligatorisch (mind. 24 Std.);47.4000750283, 8.62340719058;40
3200;Kilchberg;01.01.2005;;ZUE223;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3244274064, 8.54799908563;41
3204;Horgen;01.01.2029;;ZUE240;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2614824887, 8.59690458831;42
3209;Pfäffikon SZ;01.01.1931;;ZUE851;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2029974467, 8.77811068503;43
3400;Bülach;;;ZUE400;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5239413008, 8.53618858988;44
3501;Döttingen;01.01.2005;;ZUE416;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.5752638935, 8.25634387912;45
3503;Turgi;01.01.2019;;ZUE349;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4917545162, 8.25344123675;46
3505;Wettingen;01.01.1931;;ZUE336;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4596367944, 8.3159863528;47
3508;Dietikon;01.01.2029;;ZUE330;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.405777802, 8.40496908474;48
3509;Schlieren;01.01.1931;;ZUE322;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3991743125, 8.44722881452;49
4023;Romont;01.01.1931;01.01.2012;LS 471;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6935017507, 6.91181476775;50
4100;Fribourg/Freiburg;;;BN 221;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8032670642, 7.15102324519;51
4184;Courtepin;01.01.2018;;BN 223;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8677694633, 7.12250422399;52
4200;Yverdon-les-Bains;;;LS 441;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.781876671, 6.64114576153;53
4411;Münchenbuchsee;01.01.2029;;BN 518;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0213694411, 7.45194288392;54
5000;Luzern;;;LZ 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0501697679, 8.31017092011;55
5002;Küssnacht am Rigi;01.01.2005;;LZ 621;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0835940036, 8.4334940573;56
5006;Schwyz;01.01.2022;;LZ 641;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.0263942922, 8.63213946703;57
5074;Rigi Kaltbad-First;01.01.2028;;LZ 633;Beförderung von Fahrrädern nach dieser Station nicht möglich;47.0440082307, 8.46669951569;58
5074;Rigi Kaltbad-First;01.01.2017;;LZ 633;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0440082307, 8.46669951569;59
5091;Stoos;01.01.2028;;LZ 643;Beförderung von 6 und mehr Fahrrädern, Voranmeldung obligatorisch (mind. 24 Std.);46.9839129798, 8.66469050453;60
5112;Flüelen;;;LZ 661;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9017256462, 8.62429304308;61
5176;Sedrun;;;CH 361;;46.6810660346, 8.76977687553;62
5213;Bellinzona;;;BEL100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.195436816, 9.02950898687;63
5300;Lugano;01.01.2013;;BEL300;Reisegepäck Express;46.0055057275, 8.94687441524;64
6121;Romanshorn;;;SG 251;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5655269844, 9.37936259732;65
6131;Kreuzlingen;;;SG 400;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.6525540444, 9.16906514323;66
6302;St. Gallen;;;SG 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4231790668, 9.36987712043;67
7063;Worb Dorf;01.01.2021;;BN 421;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9299855627, 7.5624714622;68
7071;Seftigen;01.01.2019;;BN 342;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7868468574, 7.54028748019;69
7076;Belp;01.01.2013;;BN 341;Fluggepäck (Check-in am Bahnhof);46.888883092, 7.49863601858;70
7083;Köniz;;;BN 381;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9248766858, 7.41515748881;71
7100;Thun;01.01.2013;;BN 360;Reisegepäck Express;46.7548532939, 7.62959464395;72
7192;Beatenberg;01.01.2022;;IO 723;Gepäckabfertigung im Gegenverkehr ab dieser Station nicht möglich;46.6905972895, 7.76528589056;73
7271;Schönried;01.01.2017;;LS 309;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5045418942, 7.29110122969;74
7378;Grütschalp;01.01.2006;;IO 422;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5965150723, 7.89087419075;75
7380;Grindelwald;01.01.2013;;IO 540;Fluggepäck (Check-in am Bahnhof);46.6243684278, 8.03331025897;76
7389;Zweilütschinen;01.01.2021;;IO 521;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6327053904, 7.89970407083;77
7475;Kandersteg;01.01.2013;;BN 368;Fluggepäck (Check-in am Bahnhof);46.4955238841, 7.67126537052;78
7478;Frutigen;;;BN 366;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5887749341, 7.65159707977;79
7483;Spiez;01.01.2013;;BN 365;Reisegepäck Express;46.6863921577, 7.68009797421;80
7483;Spiez;01.01.1930;;BN 365;Allgemeine Informationen;46.6863921577, 7.68009797421;81
7492;Interlaken Ost;01.01.2013;;IO 100;Reisegepäck Express;46.6905054601, 7.86900513744;82
7493;Interlaken West;;;IO 211;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.6826271766, 7.85144043072;83
7753;Blatten Lötschen, Hotel Edelweiss;01.01.2011;;BR 306;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4195334717, 7.81951165408;84
8084;Kirchberg-Alchenflüh;01.01.2005;;BN 621;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0834934517, 7.58014043614;85
8265;Hasle-Rüegsau;01.01.2029;;BN 631;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.016021356, 7.65562739603;86
8391;Stans;01.01.2015;;LZ 551;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9583210245, 8.36674143144;87
8399;Engelberg;01.01.2013;;LZ 561;Fluggepäck (Check-in am Bahnhof);46.8195231702, 8.40264298232;88
8463;Weggis;01.01.2020;;LZ 741;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.03142122, 8.43322400814;89
8499;Seelisberg;01.01.2017;;LZ 751;Allgemeine Informationen;46.9788077162, 8.58692988796;90
8789;Sörenberg, Post;01.01.2020;;BN 212;Gepäck nach REKA-Zentrum: Vermerk REKA auf der Etikette anbringen;46.8217371263, 8.03451791917;91
8795;Hasliberg Wasserwendi, Dorf;01.01.2005;;LZ 532;Gepäck nach REKA-Zentrum: Vermerk REKA auf der Etikette anbringen;46.7466665251, 8.19716932549;92
9072;Davos Dorf;01.01.2013;;CH 550;Fluggepäck (Check-in am Bahnhof);46.8097194338, 9.84211236596;93
9073;Davos Platz;01.01.2013;;CH 560;Fluggepäck (Check-in am Bahnhof);46.7914664266, 9.82072566153;94
9192;Tiefencastel;01.01.1931;;CH 411;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6638787719, 9.57286526287;95
9197;Bergün/Bravuogn;01.01.2029;;CH 431;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6310688834, 9.74675138258;96
9252;Celerina;01.01.2018;;CH 720;Allgemeine Informationen;46.5139828859, 9.8584448359;97
9252;Celerina;01.01.2027;;CH 720;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5139828859, 9.8584448359;98
9257;Madulain;01.01.2012;;CH 752;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5870798428, 9.93835729234;99
9258;Zuoz;01.01.1931;;CH 743;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5999530277, 9.96146378568;100
10;Basel SBB;;;BS 100;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5474041527, 7.58955146721;101
23;Liestal;;;BS 321;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4844551308, 7.73135468775;102
118;Dornach-Arlesheim;01.01.2005;;BS 221;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.488608339, 7.61110691339;103
126;Porrentruy;;;BN 847;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.420909698, 7.08007451034;104
212;Oensingen;01.01.2008;;ZUE471;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.2850232125, 7.70985469445;105
309;Brugg AG;;;ZUE350;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4808528316, 8.20882744791;106
1062;St-Cergue;;;GEA322;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;46.4485976182, 6.16037053791;107
1062;St-Cergue;01.01.2019;;GEA322;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4485976182, 6.16037053791;108
1173;Echallens;01.01.2005;;LS 261;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6395002737, 6.6325409066;109
1281;Blonay;01.01.2029;;LS 322;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4656900169, 6.89595111008;110
1394;Château-d'Oex;01.01.2029;;LS 303;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4746699982, 7.13141988446;111
1399;Gstaad;01.01.2029;;LS 311;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4748024084, 7.28441201978;112
1399;Gstaad;01.01.2013;;LS 311;Reisegepäck Express;46.4748024084, 7.28441201978;113
1482;Leysin-Feydey;01.01.2007;;LS 342;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3444423351, 7.00836910886;114
1500;Martigny;01.01.1931;;LS 380;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1058273015, 7.07912247583;115
1578;Orsières;;;LS 386;Allgemeine Informationen;46.027736241, 7.14380826395;116
1578;Orsières;01.01.2017;;LS 386;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.027736241, 7.14380826395;117
1596;Montana-Gare;01.01.2013;;BR 240;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3129044245, 7.48922118856;118
1601;Leuk;;;BR 251;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;46.3118851335, 7.64394777254;119
1605;Visp;01.01.1931;;BR 291;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2940248591, 7.88145816487;120
1609;Brig;01.01.2013;;BR 100;Fluggepäck (Check-in am Bahnhof);46.3194210071, 7.98809158467;121
1656;Leukerbad;01.01.2013;;BR 260;Reisegepäck Express;46.3797876392, 7.62640947824;122
1659;Unterbäch VS;01.01.2020;;BR 272;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2848660051, 7.80071635127;123
1665;Münster VS;01.01.2021;;BR 761;Allgemeine Informationen;46.4853623898, 8.266538327;124
1671;Fürgangen-Bellwald;01.01.2005;;BR 741;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4119021944, 8.15231661725;125
1689;Zermatt;01.01.2013;;BR 400;Reisegepäck Express;46.0244720211, 7.74829647858;126
1698;Riederalp Mitte;01.01.2017;;BR 710;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.377990382, 8.03321389312;127
1779;St-Luc, office du tourisme;01.01.2014;;BR 233;Allgemeine Informationen;46.2235565931, 7.59305699674;128
1791;Zinal, poste;01.01.2017;;BR 235;Allgemeine Informationen;46.1371059632, 7.62498227897;129
71065;Bürchen, Tourismusbüro;01.01.2017;;BR 293;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.2705984737, 7.82795328088;130
1963;Visperterminen, Tourismusbüro;01.01.2011;;BR 292;Allgemeine Informationen;46.2580558114, 7.90268134293;131
2007;Sursee;;;LZ 321;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1707889132, 8.09787795205;132
2021;Emmenbrücke;01.01.2025;;LZ 311;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.0705979582, 8.28255105833;133
2113;Aarau;01.01.2013;01.01.1931;ZUE300;Fluggepäck (Check-in am Bahnhof);47.3913553369, 8.05125354274;134
2119;Lenzburg;01.01.2029;;ZUE380;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3911934191, 8.17037888645;135
2273;Bremgarten;01.01.2017;;LZ 433;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3518702667, 8.34747515845;136
3000;Zürich HB;01.01.2013;;ZUE100;Reisegepäck Express;47.3781765756, 8.54019221036;137
3067;Zollikerberg;01.01.2021;;ZUE716;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3460550549, 8.60340013877;138
3096;Adliswil;01.01.2003;;ZUE241;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3123035699, 8.52416439213;139
3103;Herrliberg-Feldmeilen;01.01.2007;;ZUE724;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2818232851, 8.61271954112;140
3122;Bubikon;01.01.2017;;ZUE554;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2708395927, 8.82270102308;141
3123;Wetzikon;01.01.2016;;ZUE550;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.3180331432, 8.79226951209;142
3125;Uster;;;ZUE540;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.3503664551, 8.71868854805;143
3202;Thalwil;01.01.1931;;ZUE230;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2959747213, 8.56475556229;144
3220;Lachen;01.01.2007;;ZUE853;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.190068574, 8.85269238166;145
3230;Glarus;;;ZUE813;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.0399200317, 9.0715516467;146
3261;Braunwald;01.01.2017;;ZUE820;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9387034538, 8.99859284612;147
3288;Wollerau;01.01.2021;;ZUE837;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1954349225, 8.7249971721;148
