didok;stationsbezeichnung;gueltig_von;gueltig_bis;knoten;abfertigungs_info;geopos;ID
3239;Linthal Braunwaldbahn;01.01.2007;;ZUE822;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9255699583, 8.99777825107;445
3283;Einsiedeln;01.01.2029;;ZUE834;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1285821379, 8.74446828516;446
3286;Samstagern;;;ZUE831;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1915464207, 8.68597267489;447
3287;Burghalden;01.01.2017;;ZUE833;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2086734144, 8.6926955866;448
3301;Pfäffikon ZH;01.01.2013;;ZUE625;Allgemeine Informationen;47.3670842127, 8.78477640275;449
3302;Fehraltorf;01.01.2005;;ZUE622;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.3851215525, 8.75026509676;450
3308;Kloten;01.01.2029;;ZUE451;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4486070251, 8.58379121249;451
3400;Bülach;01.01.2029;;ZUE400;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.5239413008, 8.53618858988;452
3424;Schaffhausen;;;ZUE460;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.6982814692, 8.6327284859;453
3504;Baden;;;ZUE340;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.476420225, 8.3076927631;454
4287;Fleurier;01.01.2005;;BN 826;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.904858645, 6.58157904283;455
4414;Lyss;01.01.1931;;BN 838;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0763151407, 7.30629081519;456
4483;Ins;;;BN 830;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9998261907, 7.09955576908;457
5091;Stoos;01.01.2019;;LZ 643;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9839129798, 8.66469050453;458
5113;Altdorf;01.01.2025;;LZ 671;Beförderung von 6 und mehr Fahrrädern, Voranmeldung obligatorisch (mind. 24 Std.);46.8757407268, 8.63156572016;459
5209;Biasca;01.01.2029;;BEL451;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.351982918, 8.97416705214;460
5300;Lugano;;;BEL300;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.0055057275, 8.94687441524;461
5400;Locarno;;;BEL200;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.1724273965, 8.80135894865;462
6000;Winterthur;;;ZUE600;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5003335301, 8.72379907332;463
6002;Winterthur Seen;01.01.2008;;ZUE642;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.4874349418, 8.76678904042;464
6047;Andelfingen;01.01.2007;;ZUE461;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;47.5937589886, 8.67797953564;465
6105;Weinfelden;;;SG 300;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.5662241626, 9.10634628137;466
6208;Uzwil;;;SG 221;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4364421946, 9.13097170762;467
6302;St. Gallen;01.01.2013;;SG 100;Fluggepäck (Check-in am Bahnhof);47.4231790668, 9.36987712043;468
6314;St. Margrethen;;;SG 243;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.4532118157, 9.63825154068;469
6350;Walzenhausen;01.01.2009;;SG 242;Allgemeine Informationen;47.45174123, 9.60126132858;470
6788;Unterwasser, Post;01.01.2004;;SG 287;Gepäckauslieferung durch den Wagenführer bei Ankunft und Abfahrt der Kurse;47.1969080495, 9.30899339444;471
7192;Beatenberg;01.01.2003;;IO 723;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6905972895, 7.76528589056;472
7361;Eigergletscher;01.01.2005;;IO 433;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5748075236, 7.97407636075;473
7374;Kleine Scheidegg;01.01.1931;;IO 450;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5847945993, 7.96012305872;474
7374;Kleine Scheidegg;01.01.2005;;IO 450;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5847945993, 7.96012305872;475
7380;Grindelwald;01.01.2013;;IO 540;Reisegepäck Express;46.6243684278, 8.03331025897;476
7384;Lauterbrunnen;01.01.2013;;IO 411;Reisegepäck Express;46.5984335089, 7.90809093738;477
7384;Lauterbrunnen;;;IO 411;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5984335089, 7.90809093738;478
7475;Kandersteg;;;BN 368;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.4955238841, 7.67126537052;479
7483;Spiez;;;BN 365;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.6863921577, 7.68009797421;480
7493;Interlaken West;01.01.2013;;IO 211;Fluggepäck (Check-in am Bahnhof);46.6826271766, 7.85144043072;481
7753;Blatten Lötschen, Hotel Edelweiss;01.01.2011;01.01.2012;BR 306;Allgemeine Informationen;46.4195334717, 7.81951165408;482
8008;Herzogenbuchsee;01.01.2029;;BN 590;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.1880813308, 7.70094642682;483
8295;Willisau;;;BN 654;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.122559862, 7.99706134204;484
8357;Melchsee-Frutt;01.01.2012;;LZ 523;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7745443101, 8.26839856289;485
8357;Melchsee-Frutt;01.01.1931;;LZ 523;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7745443101, 8.26839856289;486
8464;Vitznau;01.01.2026;;LZ 731;Allgemeine Informationen;47.0093586594, 8.48238323725;487
8795;Hasliberg Wasserwendi, Dorf;01.01.2016;;LZ 532;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7466665251, 8.19716932549;488
8857;Hasliberg Goldern, Post;01.01.2021;;LZ 531;Gepäckauslieferung an Sa, So und Feiertagen durch den Wagenführer;46.739659351, 8.19843169697;489
9000;Chur;01.01.2013;;CH 100;Fluggepäck (Check-in am Bahnhof);46.8530797552, 9.52892561961;490
9000;Chur;01.01.2013;;CH 100;Reisegepäck Express;46.8530797552, 9.52892561961;491
9002;Landquart;;;CH 211;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9674389764, 9.55402859224;492
9157;Arosa;;;CH 800;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7832957175, 9.67933313854;493
9250;Bever;01.01.2017;;CH 742;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5499061769, 9.88847669658;494
9251;Samedan;;;CH 741;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5337641741, 9.8736354163;495
9253;St. Moritz;01.01.2013;;CH 700;Reisegepäck Express;46.4979672615, 9.84639099719;496
9256;La Punt-Chamues-ch;01.01.2027;;CH 751;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5786698549, 9.92333691693;497
9257;Madulain;01.01.2026;01.01.2012;CH 752;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.5870798428, 9.93835729234;498
9257;Madulain;01.01.2027;;CH 752;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5870798428, 9.93835729234;499
9259;S-chanf;01.01.2017;;CH 753;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.611938153, 9.98182306539;500
9263;Susch;01.01.2019;;CH 621;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7520799199, 10.079326786;501
9264;Lavin;01.01.2007;;CH 631;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7695694922, 10.1109675736;502
9353;Morteratsch;01.01.2016;;CH 731;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4507174596, 9.94041489921;503
9353;Morteratsch;01.01.2016;01.01.2012;CH 731;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.4507174596, 9.94041489921;504
9757;Breil/Brigels, posta;01.01.2014;;CH 329;Allgemeine Informationen;46.7675770008, 9.06259359906;505
9790;Lenzerheide/Lai, Post;01.01.2007;;CH 921;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7280447625, 9.55767229036;506
9794;Maloja;01.01.2003;;CH 703;Allgemeine Informationen;46.4036442932, 9.69523815046;507
9798;Müstair, posta;01.01.1931;;CH 613;Gepäckauslieferung durch den Wagenführer bei Ankunft und Abfahrt der Kurse;46.6261555005, 10.4459592429;508
9860;Promontogno, Posta;01.01.2017;;CH 705;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3382101262, 9.55639233375;509
9873;Samnaun Dorf, Post;01.01.2017;;CH 601;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.945002468, 10.3620287017;510
1767;Grächen, Post;01.01.2019;;BR 421;Allgemeine Informationen;46.1965132316, 7.83984784844;511
8314;Sarnen;;;LZ 521;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8945995233, 8.24748154593;512
4126;Avenches;01.01.2003;;BN 821;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8845963101, 7.04091658825;513
7290;Zweisimmen;;;IO 311;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.5530890613, 7.3753203012;514
6355;Heiden;01.01.2007;;SG 232;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4464155021, 9.53677083472;515
81567;Val Müstair domicil;;;CH 613;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.6294467006, 10.4498406104;516
9404;Buchs SG;;;CH 251;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;47.1684089962, 9.47862968189;517
9766;Avers, Hotel Bergalga;01.01.2024;;CH 404;Allgemeine Informationen;46.4730077533, 9.51189289975;518
9776;Ftan, cumün;;;CH 604;Hauszustellung möglich (genaue Adressangabe nötig);46.7929002125, 10.2470469836;519
9786;Laax GR, posta;01.01.2010;;CH 902;Allgemeine Informationen;46.8065308778, 9.25811381355;520
9790;Lenzerheide/Lai, Post;01.01.2002;;CH 921;Allgemeine Informationen;46.7280447625, 9.55767229036;521
9874;Savognin, posta;01.01.2021;;CH 412;Allgemeine Informationen;46.5955161089, 9.60088394167;522
9881;Sils/Segl Maria;01.01.2003;;CH 702;Allgemeine Informationen;46.4302299828, 9.76509251285;523
9882;Silvaplana;01.01.2003;;CH 701;Allgemeine Informationen;46.4621465865, 9.79672918592;524
9952;Vals, Post;01.01.2020;;CH 327;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6189145457, 9.18053593053;525
9952;Vals, Post;01.01.2003;;CH 327;Allgemeine Informationen;46.6189145457, 9.18053593053;526
9986;Versam, Post;01.01.1931;;CH 331;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7924672308, 9.33716258412;527
9986;Versam, Post;01.01.2003;;CH 331;Allgemeine Informationen;46.7924672308, 9.33716258412;528
1767;Grächen, Post;01.01.2029;;BR 421;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.1965132316, 7.83984784844;529
8318;Hergiswil;;;LZ 511;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9826127199, 8.31016575309;530
7003;Gümligen;;;BN 372;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9343142711, 7.50550149434;531
7002;Ostermundigen;01.01.2017;;BN 371;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9567955453, 7.48148743552;532
6366;Speicher;01.01.2019;;SG 631;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.4105560572, 9.44332165804;533
1676;Mörel ARBAG;01.01.2025;;BR 711;Allgemeine Informationen;46.3562094503, 8.04713757276;534
83688;Scuol domicil;01.01.2013;;CH 600;Allgemeine Informationen;46.7957441903, 10.2956773361;535
9958;Vella, posta;01.01.2008;;CH 328;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7175213775, 9.17341089559;536
9986;Versam, Post;01.01.2020;;CH 331;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7924672308, 9.33716258412;537
4400;Kerzers;;;BN 831;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9750673748, 7.19279802852;538
8308;Meiringen;;;IO 611;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7273296622, 8.18423402153;539
8202;Konolfingen;;;BN 431;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.8806940961, 7.62135468425;540
4410;Zollikofen;01.01.2021;;BN 515;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.0018214448, 7.46290426809;541
4128;Murten;01.01.1931;;BN 843;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.9253915414, 7.11537589102;542
81567;Val Müstair domicil;;;CH 613;Allgemeine Informationen;46.6294467006, 10.4498406104;543
81567;Val Müstair domicil;01.01.2029;;CH 613;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.6294467006, 10.4498406104;544
83688;Scuol domicil;;;CH 600;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.7957441903, 10.2956773361;545
9171;Ilanz;;;CH 321;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7753580075, 9.20743786951;546
9181;Domat/Ems;01.01.2029;;CH 311;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8331408741, 9.45316475001;547
9189;Thusis;;;CH 401;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.6981990894, 9.44050194244;548
9252;Celerina;01.01.2026;;CH 720;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.5139828859, 9.8584448359;549
9253;St. Moritz;01.01.2023;01.01.1931;CH 700;Allgemeine Informationen;46.4979672615, 9.84639099719;550
9258;Zuoz;01.01.2027;;CH 743;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.5999530277, 9.96146378568;551
9259;S-chanf;01.01.2026;01.01.2012;CH 753;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.611938153, 9.98182306539;552
9259;S-chanf;01.01.2027;;CH 753;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.611938153, 9.98182306539;553
9260;Cinuos-chel-Brail;01.01.2015;;CH 754;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.6385312048, 10.0219237532;554
9260;Cinuos-chel-Brail;01.01.2018;;CH 754;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6385312048, 10.0219237532;555
9263;Susch;01.01.2019;;CH 621;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7520799199, 10.079326786;556
9264;Lavin;01.01.2019;;CH 631;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7695694922, 10.1109675736;557
9268;Scuol-Tarasp;;;CH 600;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.7937752597, 10.2862148815;558
9361;Poschiavo;;;CH 732;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.3248027549, 10.0543340143;559
9411;Sargans;01.01.2013;;CH 241;Fluggepäck (Check-in am Bahnhof);47.0453635269, 9.44539562754;560
9680;Feldis/Veulden;01.01.2005;;CH 409;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7951183526, 9.4298224416;561
9757;Breil/Brigels, posta;01.01.1931;;CH 329;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7675770008, 9.06259359906;562
9757;Breil/Brigels, posta;01.01.2017;;CH 329;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7675770008, 9.06259359906;563
9773;Flims Dorf, Post;01.01.2029;;CH 903;Allgemeine Informationen;46.8367765039, 9.28757572679;564
9799;Obersaxen Meierhof, Post;01.01.1931;;CH 324;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7488271128, 9.100054452;565
9873;Samnaun Dorf, Post;01.01.1931;;CH 601;Gepäckauslieferung durch den Wagenführer bei Ankunft und Abfahrt der Kurse;46.945002468, 10.3620287017;566
9873;Samnaun Dorf, Post;01.01.1931;;CH 601;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.945002468, 10.3620287017;567
9966;Wergenstein, posta;01.01.2009;;CH 750;Allgemeine Informationen;46.6266870826, 9.40807240109;568
211;Niederbipp;01.01.2003;01.01.1931;BN 572;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.2703963923, 7.69480825358;569
8305;Brienz;01.01.2029;;IO 617;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7548403226, 8.03893624435;570
4101;Düdingen;01.01.2029;;BN 241;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8510429325, 7.1897482223;571
8272;Sumiswald-Grünen;01.01.1931;;BN 644;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;47.025418755, 7.73706472642;572
8211;Schüpfheim;01.01.2017;;BN 211;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.950643127, 8.01513834472;573
1676;Mörel ARBAG;01.01.2025;;BR 711;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.3562094503, 8.04713757276;574
83688;Scuol domicil;01.01.2029;;CH 600;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7957441903, 10.2956773361;575
9264;Lavin;01.01.2025;01.01.2012;CH 631;ausschliesslich Hauszustellung  (genaue Adressangabe nötig);46.7695694922, 10.1109675736;576
9266;Ardez;01.01.2019;;CH 651;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.7735451754, 10.2010487691;577
9266;Ardez;01.01.2003;;CH 651;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7735451754, 10.2010487691;578
9268;Scuol-Tarasp;;;CH 600;Hauszustellung möglich (genaue Adressangabe nötig);46.7937752597, 10.2862148815;579
9452;Flumserberg Tourismusbüro;01.01.2009;;CH 262;Allgemeine Informationen;47.0935732257, 9.28452949736;580
9752;Andeer, posta;01.01.2019;;CH 402;Allgemeine Informationen;46.6021316819, 9.42663044381;581
9773;Flims Dorf, Post;01.01.2005;;CH 903;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8367765039, 9.28757572679;582
9776;Ftan, cumün;01.01.2005;;CH 604;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7929002125, 10.2470469836;583
9776;Ftan, cumün;01.01.2025;;CH 604;Allgemeine Informationen;46.7929002125, 10.2470469836;584
9786;Laax GR, posta;01.01.2007;;CH 902;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.8065308778, 9.25811381355;585
9798;Müstair, posta;01.01.2013;;CH 613;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6261555005, 10.4459592429;586
9799;Obersaxen Meierhof, Post;01.01.2003;;CH 324;Allgemeine Informationen;46.7488271128, 9.100054452;587
9799;Obersaxen Meierhof, Post;01.01.2017;;CH 324;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7488271128, 9.100054452;588
9869;Sta. Maria Val Müstair, posta;01.01.2019;;CH 614;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.6021401805, 10.4250184147;589
9873;Samnaun Dorf, Post;;;CH 601;Hauszustellung möglich (genaue Adressangabe nötig);46.945002468, 10.3620287017;590
9882;Silvaplana;01.01.2006;;CH 701;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.4621465865, 9.79672918592;591
9952;Vals, Post;01.01.1931;;CH 327;Beförderung von Fahrrädern nach dieser Station nicht möglich;46.6189145457, 9.18053593053;592
9958;Vella, posta;01.01.2003;;CH 328;Allgemeine Informationen;46.7175213775, 9.17341089559;593
9958;Vella, posta;01.01.2020;;CH 328;Militärgepäck: Beförderung von Büro- und Materialkisten (über 25 Kg) nicht möglich;46.7175213775, 9.17341089559;594
8305;Brienz;01.01.2002;;IO 617;Beförderung von Fahrrädern beschränkt, Voranmeldung erwünscht;46.7548403226, 8.03893624435;595
8207;Langnau;;;BN 441;Beförderung von Militärgepäck (Büro- und Materialkisten) möglich;46.9392386679, 7.78418250906;596
